dist, hand, time, fingPair, participant, group
0.76564,1,1,6,19,1
0.77591,1,1,7,19,1
0.39903,1,1,8,19,1
0.55508,1,1,9,19,1
0.25699,1,1,10,19,1
0.53522,1,1,1,20,1
0.59797,1,1,2,20,1
0.69769,1,1,3,20,1
0.5873,1,1,4,20,1
0.32877,1,1,5,20,1
0.50466,1,1,6,20,1
0.54259,1,1,7,20,1
0.26904,1,1,8,20,1
0.42742,1,1,9,20,1
0.2993,1,1,10,20,1
0.25415,1,2,1,1,1
0.36857,1,2,2,1,1
0.43654,1,2,3,1,1
0.40718,1,2,4,1,1
0.1944,1,2,5,1,1
0.3518,1,2,6,1,1
0.35267,1,2,7,1,1
0.21882,1,2,8,1,1
0.27643,1,2,9,1,1
0.16335,1,2,10,1,1
0.38041,1,2,1,2,1
0.51184,1,2,2,2,1
0.60538,1,2,3,2,1
0.57683,1,2,4,2,1
0.34593,1,2,5,2,1
0.55255,1,2,6,2,1
0.57149,1,2,7,2,1
0.30252,1,2,8,2,1
0.43198,1,2,9,2,1
0.31892,1,2,10,2,1
0.22897,1,2,1,3,1
0.30502,1,2,2,3,1
0.35216,1,2,3,3,1
0.34197,1,2,4,3,1
0.10739,1,2,5,3,1
0.19102,1,2,6,3,1
0.23187,1,2,7,3,1
0.048555,1,2,8,3,1
0.18833,1,2,9,3,1
0.10162,1,2,10,3,1
0.52903,1,2,1,4,1
0.73746,1,2,2,4,1
0.78415,1,2,3,4,1
0.72642,1,2,4,4,1
0.42227,1,2,5,4,1
0.66196,1,2,6,4,1
0.6667,1,2,7,4,1
0.44573,1,2,8,4,1
0.58426,1,2,9,4,1
0.33596,1,2,10,4,1
0.50571,1,2,1,5,1
0.62714,1,2,2,5,1
0.61823,1,2,3,5,1
0.60432,1,2,4,5,1
0.25993,1,2,5,5,1
0.38479,1,2,6,5,1
0.41042,1,2,7,5,1
0.27962,1,2,8,5,1
0.40005,1,2,9,5,1
0.20335,1,2,10,5,1
0.32242,1,2,1,6,1
0.31874,1,2,2,6,1
0.3867,1,2,3,6,1
0.36668,1,2,4,6,1
0.18073,1,2,5,6,1
0.31738,1,2,6,6,1
0.29746,1,2,7,6,1
0.22717,1,2,8,6,1
0.21168,1,2,9,6,1
0.17588,1,2,10,6,1
0.47541,1,2,1,7,1
0.51116,1,2,2,7,1
0.564,1,2,3,7,1
0.43937,1,2,4,7,1
0.33485,1,2,5,7,1
0.55522,1,2,6,7,1
0.52426,1,2,7,7,1
0.31534,1,2,8,7,1
0.36032,1,2,9,7,1
0.17859,1,2,10,7,1
0.39517,1,2,1,8,1
0.42891,1,2,2,8,1
0.51798,1,2,3,8,1
0.52564,1,2,4,8,1
0.17548,1,2,5,8,1
0.30508,1,2,6,8,1
0.3307,1,2,7,8,1
0.17051,1,2,8,8,1
0.302,1,2,9,8,1
0.2336,1,2,10,8,1
0.39702,1,2,1,9,1
0.52185,1,2,2,9,1
0.56746,1,2,3,9,1
0.54123,1,2,4,9,1
0.24074,1,2,5,9,1
0.37053,1,2,6,9,1
0.42898,1,2,7,9,1
0.19304,1,2,8,9,1
0.39198,1,2,9,9,1
0.22293,1,2,10,9,1
0.32824,1,2,1,10,1
0.44001,1,2,2,10,1
0.45056,1,2,3,10,1
0.40219,1,2,4,10,1
0.20861,1,2,5,10,1
0.29684,1,2,6,10,1
0.31581,1,2,7,10,1
0.20217,1,2,8,10,1
0.26684,1,2,9,10,1
0.19009,1,2,10,10,1
0.24251,1,2,1,11,1
0.31442,1,2,2,11,1
0.27829,1,2,3,11,1
0.3509,1,2,4,11,1
0.20439,1,2,5,11,1
0.212,1,2,6,11,1
0.29139,1,2,7,11,1
0.13983,1,2,8,11,1
0.28698,1,2,9,11,1
0.15952,1,2,10,11,1
0.33652,1,2,1,12,1
0.55089,1,2,2,12,1
0.58261,1,2,3,12,1
0.62679,1,2,4,12,1
0.31308,1,2,5,12,1
0.42371,1,2,6,12,1
0.49128,1,2,7,12,1
0.23924,1,2,8,12,1
0.40194,1,2,9,12,1
0.32506,1,2,10,12,1
0.33637,1,2,1,13,1
0.41764,1,2,2,13,1
0.4404,1,2,3,13,1
0.43279,1,2,4,13,1
0.28072,1,2,5,13,1
0.40127,1,2,6,13,1
0.46448,1,2,7,13,1
0.16962,1,2,8,13,1
0.28483,1,2,9,13,1
0.16431,1,2,10,13,1
0.6,1,2,1,14,1
0.53259,1,2,2,14,1
0.57168,1,2,3,14,1
0.65768,1,2,4,14,1
0.48541,1,2,5,14,1
0.51671,1,2,6,14,1
0.59329,1,2,7,14,1
0.37455,1,2,8,14,1
0.50232,1,2,9,14,1
0.33673,1,2,10,14,1
0.41239,1,2,1,15,1
0.58339,1,2,2,15,1
0.61627,1,2,3,15,1
0.60702,1,2,4,15,1
0.40368,1,2,5,15,1
0.57282,1,2,6,15,1
0.65172,1,2,7,15,1
0.33348,1,2,8,15,1
0.50513,1,2,9,15,1
0.29185,1,2,10,15,1
0.36976,1,2,1,16,1
0.49219,1,2,2,16,1
0.4861,1,2,3,16,1
0.51545,1,2,4,16,1
0.22752,1,2,5,16,1
0.3381,1,2,6,16,1
0.44364,1,2,7,16,1
0.21421,1,2,8,16,1
